Date,Open,High,Low,Close,Adj Close,Volume
2007-04-02,16.017242,16.017242,15.327505,15.695366,12.788865,917487
2007-04-03,15.710693,15.936774,15.634055,15.856304,12.920001,1461255
2007-04-04,15.952101,16.243324,15.749012,16.166685,13.172905,2406014
2007-04-05,16.477068,16.477068,16.093882,16.212669,13.210374,2625671
2007-04-09,16.400431,16.814274,16.327625,16.726139,13.628759,2067237
2007-04-10,16.783619,16.913902,16.599688,16.706982,13.613149,2832828
2007-04-11,16.706982,16.879416,16.630342,16.718477,13.622515,2563417
2007-04-12,15.710693,16.802778,15.710693,16.741468,13.641251,3081179
2007-04-13,16.860256,17.005867,16.706982,16.948389,13.809849,2746030
2007-04-16,17.205126,17.243444,16.898575,17.120825,13.950356,2467015
2007-04-17,17.243444,17.243444,16.477068,16.963717,13.822341,2286216
2007-04-18,17.205126,17.235781,16.921566,16.940725,13.803606,2550395
2007-04-19,16.898575,17.082504,16.553705,16.986708,13.841077,1509012
2007-04-20,17.166805,17.381392,16.952221,17.059513,13.900395,999836
2007-04-23,17.205126,17.220451,16.749132,17.005867,13.856685,1051195
2007-04-24,16.952221,17.549994,16.783619,17.063345,13.903522,2854645
2007-04-25,16.726139,17.396719,16.484732,17.327745,14.118958,5273669
2007-04-26,17.396719,17.818226,17.243444,17.396719,14.175159,5131846
2007-04-27,17.389055,17.415878,16.710814,16.864088,13.741162,1864269
2007-04-30,17.074841,17.094,16.722307,17.082504,13.919129,1019878
2007-05-03,17.235781,17.320082,16.952221,17.055681,13.897275,1570849
2007-05-04,17.013531,17.028858,16.798946,16.940725,13.803606,1305065
2007-05-07,17.09017,17.166805,16.791283,17.025026,13.872297,717716
2007-05-08,17.082504,17.09017,16.749132,16.879416,13.753654,658189
2007-05-09,16.860256,17.082504,16.714645,16.998203,13.850439,665339
2007-05-10,16.956053,17.205126,16.825769,16.940725,13.803606,758675
2007-05-11,16.553705,16.936893,16.553705,16.848761,13.728673,1215983
2007-05-14,17.15148,17.327745,16.860256,17.166805,13.987821,577484
2007-05-15,17.396719,17.549994,17.113159,17.461861,14.228239,934659
2007-05-16,17.618967,17.703268,17.438869,17.561489,14.309418,949208
2007-05-17,17.856544,18.086456,17.710934,17.852713,14.54671,1584680
2007-05-18,17.779905,19.465933,17.779905,19.159382,15.611408,13303195
2007-05-21,19.301161,19.442942,17.864208,18.028978,14.690336,5482783
2007-05-22,18.224403,19.059753,17.48102,18.473476,15.05252,7385820
2007-05-23,18.484972,18.998444,18.067297,18.653574,15.199266,2754590
2007-05-24,18.415998,18.70722,17.779905,18.101784,14.749658,1327208
2007-05-25,17.82589,18.385344,17.626631,18.21674,14.843324,1443118
2007-05-28,18.408335,18.599928,17.626631,18.117111,14.762149,1934352
2007-05-29,16.308466,16.308466,16.308466,16.308466,13.288431,669815
2007-05-30,15.327505,16.860256,14.679918,16.526882,13.466399,13455274
2007-05-31,16.783619,18.182253,16.783619,17.998323,14.665359,4203058
2007-06-01,18.546282,19.082745,17.695604,18.270388,14.887042,4137685
2007-06-04,18.201412,18.393007,18.009819,18.117111,14.762149,1776557
2007-06-05,18.017483,18.393007,17.856544,18.293379,14.905772,1852577
2007-06-06,18.201412,18.393007,17.933182,18.086456,14.737171,1566960
2007-06-07,18.009819,18.232067,17.864208,18.086456,14.737171,943232
2007-06-08,17.933182,18.044306,17.703268,17.845049,14.540465,898580
2007-06-11,17.860376,18.320202,17.860376,18.078793,14.730926,1763117
2007-06-12,17.864208,18.163094,17.511675,18.013651,14.677845,1493419
2007-06-13,18.009819,18.009819,17.707102,17.829721,14.527978,277122
2007-06-14,17.967669,18.159262,17.818226,18.120943,14.765269,693433
2007-06-15,18.201412,18.297211,17.940845,18.021315,14.68409,1356163
2007-06-18,18.163094,18.393007,17.856544,18.159262,14.796491,1436437
2007-06-19,18.136271,18.393007,17.948509,18.320202,14.927629,1143956
2007-06-20,18.316368,19.312656,18.316368,18.734043,15.264834,1917415
2007-06-21,18.998444,19.082745,18.507963,18.726379,15.25859,1132330
2007-06-22,18.852833,19.006107,18.316368,18.580769,15.139944,592438
2007-06-25,18.622919,19.082745,18.324034,18.967789,15.455295,1312724
2007-06-26,19.159382,20.002396,18.929468,19.619207,15.986084,4364950
2007-06-27,19.458267,20.098192,19.239851,19.887438,16.204641,3770593
2007-06-28,19.783978,21.38187,19.783978,20.649982,16.825979,4371200
2007-06-29,20.649982,21.650103,20.649982,21.021673,17.128836,3328812
2007-07-02,21.151958,21.535145,20.653814,20.745779,16.904036,1691338
2007-07-03,20.845407,21.305233,20.538857,21.205605,17.278708,1161676
2007-07-04,21.305233,21.535145,21.010178,21.316729,17.369251,1706748
2007-07-05,21.38187,22.102262,20.692133,20.910549,17.038292,2981594
2007-07-06,21.037001,21.412525,20.542688,20.711292,16.875933,1327678
2007-07-09,20.615496,21.228596,20.615496,21.148127,17.231873,829593
2007-07-10,21.151958,21.420189,20.845407,21.274578,17.334911,750154
2007-07-11,21.075319,21.834032,20.887558,21.54664,17.556587,1166295
2007-07-12,21.611782,22.830318,21.228596,22.62723,18.437073,3908189
2007-07-13,22.972099,24.133158,22.692371,23.822777,19.411228,8536522
2007-07-16,23.83427,24.815231,23.83427,24.140821,19.670374,3212903
2007-07-17,24.217459,24.355406,23.612022,23.841934,19.426836,2318746
2007-07-18,23.757633,24.064184,23.531553,23.861094,19.442448,811312
2007-07-19,23.757633,24.50868,23.757633,24.416716,19.895176,1529981
2007-07-20,24.830559,24.97617,24.148485,24.581488,20.02944,1054013
2007-07-23,24.677284,24.677284,23.680996,24.435877,19.910789,1062964
2007-07-24,24.370733,25.252066,24.225122,25.056641,20.416601,1707896
2007-07-25,24.029697,25.435995,24.029697,25.048977,20.410357,1153481
2007-07-26,25.133278,25.290384,24.677284,25.006824,20.376005,1361826
2007-07-27,24.294096,24.52401,23.374447,23.600527,19.230135,1516828
2007-07-30,23.91091,24.332415,23.604359,24.190636,19.710966,1202309
2007-07-31,24.485689,25.596933,24.485689,25.4245,20.716335,1885681
2007-08-01,24.757753,25.213747,23.964556,24.079512,19.620419,1950428
2007-08-02,24.332415,24.97617,23.987547,24.592983,20.038801,1215970
2007-08-03,24.891869,26.639206,24.857382,26.175549,21.328308,3382963
2007-08-06,25.290384,26.823135,24.907198,26.574062,21.653025,2182129
2007-08-07,26.746496,27.382589,26.608549,26.876781,21.899687,1522191
2007-08-08,26.97641,27.512873,26.97641,27.436235,22.355537,2159777
2007-08-09,27.738953,28.352053,26.669861,26.815472,21.849726,1606445
2007-08-10,25.757874,26.662195,24.217459,26.401628,21.512522,1078388
2007-08-13,26.823135,27.436235,26.298168,26.436115,21.540621,452441
2007-08-14,26.895941,27.129684,26.554903,26.754162,21.799774,655057
2007-08-16,26.056759,26.669861,24.907198,25.719555,20.956753,1002902
2007-08-17,26.439947,26.439947,24.140821,25.091127,20.4447,1590004
2007-08-20,25.290384,26.439947,25.290384,25.458986,20.744438,2446999
2007-08-21,25.941803,25.980122,25.520296,25.566278,20.831861,3806777
2007-08-22,25.826847,26.026104,25.290384,25.623756,20.878698,6029434
2007-08-23,26.003113,26.056759,24.531673,25.24057,20.566469,2559959
2007-08-24,25.290384,25.903484,24.945515,25.842175,21.056667,4335930
2007-08-27,26.248352,26.324991,25.75021,25.842175,21.056667,6945017
2007-08-28,25.980122,26.056759,25.673573,25.999281,21.184679,5554380
2007-08-29,25.374685,25.903484,25.367022,25.738714,20.972366,5680624
2007-08-30,25.75021,26.056759,25.367022,25.527962,20.800642,5272234
2007-08-31,25.650581,26.508921,25.520296,26.217697,21.362654,6776810
2007-09-03,27.436235,29.888636,26.370974,29.321518,23.891701,14519218
2007-09-04,29.582087,29.582087,27.597174,27.738953,22.602194,8823340
2007-09-05,27.972698,28.049335,26.834629,26.949587,21.959009,3558073
2007-09-06,26.133396,27.551191,26.133396,27.145012,22.118246,3117154
2007-09-07,27.505209,28.279247,27.206322,27.558855,22.455448,2245883
2007-09-10,27.137348,28.279247,26.907436,28.156628,22.942526,1813706
2007-09-11,28.271584,28.968987,27.838581,27.922882,22.752068,3363221
2007-09-12,28.279247,28.279247,27.282961,27.501377,22.408619,2487267
2007-09-13,27.58951,29.605078,27.58951,29.294695,23.869843,6392899
2007-09-14,29.505447,31.191475,29.505447,30.053408,24.488056,11226771
2007-09-17,30.501736,31.950186,30.36762,31.544006,25.702623,7182786
2007-09-18,31.881212,36.172913,31.804573,35.368217,28.818655,20130659
2007-09-19,35.253262,36.786015,35.253262,35.724583,29.109032,9858290
2007-09-20,35.973656,37.47575,35.636452,36.161419,29.464975,4857502
2007-09-21,36.540775,37.245838,35.483177,36.644234,29.858383,5945833
2007-09-24,36.939289,38.694286,36.786015,38.403065,31.291502,4109461
2007-09-25,38.3111,39.161777,37.563885,38.073524,31.022987,3278054
2007-09-26,38.621483,39.08514,37.552387,37.755478,30.763845,3084559
2007-09-27,37.786133,38.57933,37.019756,37.809124,30.807549,1947531
2007-09-28,38.318764,44.748653,37.927914,42.637287,34.741631,16148876
2007-10-01,43.484135,48.971382,43.300205,47.147408,38.41655,25467313
2007-10-03,48.277809,51.864449,47.745178,49.58065,40.399204,16369630
2007-10-04,49.822056,51.301163,48.68399,49.389053,40.243088,10384820
2007-10-05,49.814396,54.328342,49.814396,53.883846,43.905521,18241911
2007-10-08,55.255657,57.324871,49.124657,49.76458,40.549072,19432541
2007-10-09,50.197582,54.742188,48.128368,54.742188,44.604916,11137128
2007-10-10,56.424381,59.700634,55.408932,56.991497,46.437698,13914997
2007-10-11,57.478146,58.780987,53.515987,57.056641,46.490768,4464796
2007-10-12,57.17926,57.17926,53.416355,54.286194,44.233368,5318595
2007-10-15,57.861336,57.861336,55.17902,56.294098,45.869438,4754680
2007-10-16,57.094959,57.167767,54.588913,54.952942,44.776646,3840938
2007-10-17,49.737755,54.01413,49.661118,53.270744,43.405964,3960226
2007-10-18,54.412643,55.945396,49.814396,50.87199,41.451412,3835183
2007-10-19,48.281643,51.347145,46.365704,47.07077,38.354111,3078739
2007-10-22,44.852116,51.780148,43.763863,51.515747,41.975952,4581436
2007-10-23,53.370377,56.669621,53.186443,56.669621,46.175419,6989917
2007-10-24,59.348103,61.310024,56.424381,57.876663,47.158947,7116487
2007-10-25,59.348103,61.080109,58.236858,60.355885,49.179058,7389943
2007-10-26,61.294697,65.141899,60.160461,64.360199,52.441849,9015295
2007-10-29,65.908272,66.663155,64.758713,65.107414,53.050697,5816849
2007-10-30,65.885284,65.885284,61.854149,62.490242,50.918179,6069715
2007-10-31,62.842773,62.842773,59.800262,60.984314,49.691113,4230303
2007-11-01,62.076397,64.034485,62.076397,63.306431,51.583221,8944860
2007-11-02,61.482456,62.689499,60.19878,60.877022,49.603695,4724095
2007-11-05,61.310024,62.072567,58.704346,61.126095,49.806644,5695956
2007-11-06,61.310024,62.076397,60.160461,61.068615,49.759808,3321075
2007-11-07,61.15675,63.532513,60.160461,61.321518,49.965878,3905958
2007-11-08,60.160461,63.141659,59.853909,61.398155,50.028328,2863283
2007-11-12,59.164173,60.329063,58.344151,59.93821,48.838726,1988829
2007-11-13,60.160461,62.053406,59.091366,61.700874,50.274982,1713899
2007-11-14,62.459587,64.789368,61.769848,64.789368,52.791538,5393819
2007-11-15,66.598015,67.4142,63.60915,64.505806,52.56049,2005975
2007-11-16,63.302601,66.674652,63.22596,63.789246,51.976624,1202113
2007-11-19,65.115074,66.981201,64.375526,66.981201,54.577492,3568799
2007-11-20,66.590347,67.364388,65.509758,66.214828,53.953037,1547805
2007-11-21,66.521378,66.521378,63.271942,63.620644,51.839245,1312972
2007-11-22,63.22596,64.298889,61.310024,63.532513,51.767437,1889739
2007-11-23,62.336967,65.456116,62.336967,65.065262,53.016342,6686671
2007-11-26,67.797394,67.797394,65.387138,66.115196,53.871849,2844350
2007-11-27,66.291466,66.291466,62.812119,62.812119,51.180435,1968330
2007-11-28,62.842773,62.842773,59.673813,59.961201,48.85746,4691200
2007-11-29,60.237099,61.15675,60.160461,60.574303,49.357029,2116756
2007-11-30,61.616573,61.616573,60.083824,61.233383,49.894054,1857458
2007-12-03,62.053406,62.750809,59.010899,61.057117,49.750435,3281421
2007-12-04,61.846485,62.076397,60.179619,60.639446,49.41011,1934939
2007-12-05,61.539936,62.076397,60.696922,61.455635,50.075157,3587785
2007-12-06,61.99976,63.60915,60.930668,61.321518,49.965878,3349364
2007-12-07,61.386662,62.996048,59.470722,61.060951,49.753559,2419402
2007-12-10,61.455635,62.298649,59.853909,60.880852,49.606815,3127488
2007-12-11,61.310024,63.927197,61.003471,63.911865,52.076534,6137032
2007-12-12,62.084061,67.107651,62.084061,66.946716,54.549389,5023348
2007-12-13,67.594299,70.295776,65.141899,70.295776,57.278259,8057971
2007-12-14,72.37648,72.805649,66.781944,69.759308,56.841137,6867066
2007-12-17,70.353249,72.652374,67.441025,69.349297,56.50705,4659362
2007-12-18,65.915939,69.663513,65.881454,67.065498,54.646175,5869395
2007-12-19,68.437309,69.510239,66.68998,68.536942,55.845123,2644135
2007-12-20,69.356964,69.356964,67.824211,69.008263,56.229172,513925
2007-12-24,72.115913,72.460785,72.115913,72.460785,59.042343,695703
2007-12-26,76.024429,76.085739,74.529999,76.085739,61.996021,2004174
2007-12-27,79.580406,79.890793,73.656326,79.890793,65.096474,3906989
2007-12-28,81.159142,83.887436,77.787094,83.887436,68.352989,1647965
2007-12-31,86.171242,88.083344,86.171242,88.083344,71.771873,1260035
2008-01-01,91.88073,92.490005,89.290382,92.490005,75.362518,2840553
2008-01-02,96.134117,97.115074,88.539337,97.115074,79.131104,9666830
2008-01-03,97.78949,101.973892,95.87355,97.532753,79.471436,8934134
2008-01-04,99.237938,101.161537,94.513229,97.237694,79.231018,2682758
2008-01-07,92.945992,96.946472,92.831039,95.977013,78.203789,4345703
2008-01-08,96.563286,98.785774,91.275299,93.539932,76.218033,4551151
2008-01-09,89.665909,93.574425,88.914864,89.769371,73.145699,4389937
2008-01-10,88.907196,92.70842,85.83403,86.447136,70.438675,2722439
