,Date,Open,High,Low,Close,Adj Close,Volume
735,20210122,534.049988,546.75,521.599976,526.799988,526.226868,4179558
736,20210125,530.25,534.400024,509.0,513.900024,513.340942,3728411
737,20210127,513.099976,521.549988,507.049988,512.799988,512.242065,2792007
738,20210128,507.299988,519.5,501.350006,511.850006,511.293121,4197516
739,20210129,515.200012,525.200012,502.5,506.649994,506.098755,3822560
740,20210201,510.5,539.5,496.899994,537.200012,536.615601,4004036
741,20210202,542.049988,566.900024,540.799988,564.200012,563.586182,5144708
742,20210203,568.0,576.599976,558.349976,566.599976,565.983521,6087209
743,20210204,561.950012,611.700012,556.0,589.700012,589.058411,11184167
744,20210205,595.0,607.849976,588.599976,595.349976,594.702271,4754950
745,20210208,605.400024,638.0,603.549988,628.299988,627.616455,7085276
746,20210209,631.450012,641.900024,621.0,629.849976,629.164734,4510798
747,20210210,633.049988,654.900024,622.099976,650.700012,649.992065,5991927
748,20210211,654.0,661.0,645.349976,658.599976,657.883423,3688016
749,20210212,657.0,724.450012,655.200012,718.950012,718.167786,16810897
750,20210215,725.0,787.950012,707.650024,763.450012,762.619385,21579566
751,20210216,760.0,802.950012,756.25,780.200012,779.351196,19426061
752,20210217,787.150024,802.0,782.25,785.450012,784.595459,8908279
753,20210218,787.25,824.5,786.0,808.200012,807.320679,9694238
754,20210219,813.0,831.0,729.5,781.900024,781.049316,20210882
755,20210222,786.0,813.0,780.549988,805.900024,805.023193,10890564
756,20210223,814.799988,827.299988,789.0,799.650024,798.780029,9753081
757,20210224,806.0,812.049988,795.450012,805.200012,804.323975,4626257
758,20210225,814.0,862.400024,809.0,843.5,842.582336,12118095
759,20210226,833.900024,861.0,819.849976,833.650024,832.743042,11355426
760,20210301,840.75,860.950012,836.450012,851.5,850.573608,5996840
761,20210302,857.400024,876.5,852.25,872.549988,871.600647,5116413
762,20210303,880.450012,944.900024,872.849976,915.349976,914.354126,11670544
763,20210304,910.0,938.700012,905.400024,918.400024,917.400818,8141787
764,20210305,918.0,934.0,888.299988,909.900024,908.910095,7109101
765,20210308,918.099976,926.400024,905.099976,910.200012,909.209717,3904469
766,20210309,918.0,928.400024,893.599976,905.200012,904.215149,5561849
767,20210310,911.0,914.099976,888.700012,898.150024,897.172852,5465016
768,20210312,905.0,923.799988,889.299988,894.099976,893.127197,6049852
769,20210315,898.75,904.0,874.5,896.200012,895.224976,5234540
770,20210316,900.700012,904.400024,888.049988,897.799988,896.823242,2555026
771,20210317,898.0,905.400024,865.0,873.900024,872.949219,3886557
772,20210318,876.0,891.0,857.75,871.049988,870.102295,4465851
773,20210319,866.0,895.400024,840.200012,889.650024,888.682068,4794995
774,20210322,892.900024,1003.0,883.450012,991.049988,989.971741,22596465
775,20210323,999.0,1086.699951,991.049988,1058.400024,1057.248535,31098225
776,20210324,1063.0,1093.0,1018.400024,1025.449951,1024.334351,22877032
777,20210325,1032.949951,1041.449951,977.0,981.549988,980.482056,13139164
778,20210326,1000.0,1018.450012,978.0,988.299988,987.224731,9396506
779,20210330,1004.0,1042.449951,988.0,1031.550049,1030.427734,10470011
780,20210331,1038.0,1053.150024,1016.599976,1031.150024,1030.028198,6440569
781,20210401,1043.400024,1116.050049,1035.0,1107.199951,1105.995239,12713083
782,20210405,1127.0,1150.0,1098.849976,1138.25,1137.011597,15795720
783,20210406,1153.400024,1241.0,1142.5,1225.400024,1224.066772,21496457
784,20210407,1233.400024,1251.599976,1108.0,1165.550049,1164.28186,23007694
785,20210408,1162.5,1191.0,1137.75,1162.5,1161.235229,12404773
786,20210409,1163.400024,1228.0,1151.199951,1201.400024,1200.092896,12923020
787,20210412,1177.400024,1177.400024,1061.400024,1074.400024,1073.231201,13690016
788,20210413,1077.0,1116.300049,1051.050049,1106.349976,1105.14624,12137329
789,20210415,1095.0,1144.900024,1081.349976,1129.949951,1128.720581,9350889
790,20210416,1130.0,1192.0,1112.0,1159.0,1157.739014,10661068
791,20210419,1100.0,1153.0,1089.0,1136.349976,1135.113647,8565063
792,20210420,1156.849976,1177.699951,1125.050049,1142.75,1141.506714,8261172
793,20210422,1134.0,1169.0,1123.0,1157.800049,1156.540283,7124786
794,20210423,1161.0,1182.900024,1145.650024,1157.599976,1156.340576,6167151
795,20210426,1160.0,1197.900024,1160.0,1173.349976,1172.073364,6939823
796,20210427,1184.699951,1213.5,1181.0,1191.150024,1189.854004,7109421
797,20210428,1207.949951,1213.949951,1180.75,1185.199951,1183.910522,5020151
798,20210429,1196.550049,1212.650024,1178.0,1182.300049,1181.013672,4070698
799,20210430,1171.0,1200.949951,1143.0,1158.699951,1157.439331,4232500
800,20210503,1145.099976,1264.400024,1122.650024,1255.550049,1254.18396,11276228
801,20210504,1285.0,1298.949951,1241.849976,1262.5,1261.126343,10271516
802,20210505,1274.400024,1288.25,1240.25,1267.5,1266.120972,7805805
803,20210506,1272.349976,1311.849976,1263.0,1286.75,1285.350098,6240535
804,20210507,1305.0,1322.400024,1290.449951,1298.900024,1297.486938,4584524
805,20210510,1294.900024,1314.0,1286.300049,1304.099976,1302.68103,3892338
806,20210511,1292.0,1326.0,1284.0,1303.5,1302.081909,4744734
807,20210512,1311.0,1328.5,1278.599976,1285.800049,1284.401123,4143731
808,20210514,1300.0,1302.0,1213.349976,1220.349976,1219.022339,6377643
809,20210517,1230.0,1299.0,1227.449951,1289.099976,1287.69751,7782732
810,20210518,1314.949951,1344.949951,1302.0,1326.699951,1325.256592,6531595
811,20210519,1350.0,1351.550049,1283.900024,1294.699951,1293.29126,9925284
812,20210520,1301.300049,1320.0,1283.949951,1302.0,1300.583496,5837747
813,20210521,1320.0,1336.0,1300.050049,1315.099976,1313.669189,8314215
814,20210524,1321.699951,1328.650024,1303.0,1306.800049,1305.378296,7913411
815,20210525,1314.349976,1322.0,1272.900024,1282.75,1281.35437,3697062
816,20210526,1288.949951,1326.849976,1254.25,1322.800049,1321.36084,5630730
817,20210527,1329.5,1342.0,1304.25,1325.800049,1324.357544,36690935
818,20210528,1311.599976,1330.449951,1298.0,1302.599976,1301.182861,2979585
819,20210531,1307.050049,1321.5,1292.0,1316.300049,1314.86792,2709718
820,20210601,1319.900024,1430.0,1309.050049,1416.25,1414.709106,10018645
821,20210602,1425.550049,1557.0,1413.0,1546.75,1545.067139,24541949
822,20210603,1564.0,1623.800049,1553.0,1583.099976,1581.377563,19107244
823,20210604,1605.0,1713.550049,1585.800049,1700.949951,1699.099365,21102075
824,20210607,1715.0,1717.199951,1613.0,1624.300049,1622.532837,15350263
825,20210608,1633.0,1668.0,1602.449951,1636.449951,1634.669434,12410257
826,20210609,1640.0,1649.449951,1571.849976,1594.650024,1592.915161,11614666
827,20210610,1612.0,1630.0,1591.0,1612.0,1610.246094,5362307
828,20210611,1615.099976,1620.099976,1575.25,1601.599976,1599.857544,5355387
829,20210614,1441.449951,1529.949951,1201.199951,1501.449951,1499.816406,43530006
830,20210615,1550.949951,1572.599976,1477.199951,1538.849976,1537.175781,22320542
831,20210616,1510.0,1538.199951,1409.300049,1448.300049,1446.724365,12626149
832,20210617,1380.0,1436.0,1303.5,1367.699951,1366.211914,27926070
833,20210618,1350.0,1504.0,1332.550049,1487.5,1485.881714,30526777
834,20210621,1490.0,1582.0,1444.849976,1540.0,1538.324585,21101083
835,20210622,1554.050049,1582.0,1531.800049,1541.599976,1539.922729,12069983
836,20210623,1560.099976,1569.949951,1481.300049,1504.75,1503.112915,12679703
837,20210624,1509.949951,1519.0,1488.050049,1508.5,1506.858765,7261764
838,20210625,1525.0,1534.0,1501.0,1519.449951,1517.796753,4962963
839,20210628,1524.900024,1565.0,1518.199951,1525.75,1524.089966,6178022
840,20210629,1526.0,1548.699951,1513.0,1523.550049,1521.892456,5551918
841,20210630,1539.0,1539.0,1502.699951,1507.550049,1505.909912,3256147
842,20210701,1509.550049,1522.550049,1482.900024,1490.25,1489.616821,3759914
843,20210702,1490.25,1507.699951,1411.550049,1422.050049,1421.445801,6653653
844,20210705,1427.0,1443.949951,1350.599976,1394.349976,1393.757446,12239845
845,20210706,1400.900024,1444.150024,1378.75,1414.800049,1414.198853,9485434
846,20210707,1420.0,1437.099976,1385.0,1425.650024,1425.044189,5549751
847,20210708,1420.0,1445.0,1411.800049,1425.900024,1425.294189,3898830
848,20210709,1425.900024,1456.599976,1416.449951,1431.349976,1430.741821,4502324
849,20210712,1442.0,1447.0,1414.150024,1420.699951,1420.096313,2557189
850,20210713,1433.0,1433.0,1385.199951,1417.699951,1417.097534,4157955
851,20210714,1449.0,1449.0,1397.800049,1402.050049,1401.454346,3859529
852,20210715,1399.0,1429.0,1393.400024,1407.949951,1407.351685,2728305
853,20210716,1409.0,1415.0,1388.25,1395.5,1394.906982,2134914
854,20210719,1390.0,1412.650024,1332.75,1380.599976,1380.013306,6190302
855,20210720,1340.0,1382.900024,1336.099976,1365.699951,1365.119629,4529933
856,20210722,1375.0,1424.900024,1340.5,1416.75,1416.147949,5009804
